"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2022","5,783.41","6,077.06","6,118.25","5,765.65","","-4.84%"
"09/11/2022","6,077.30","6,213.88","6,394.18","6,052.42","","-2.17%"
"09/04/2022","6,212.33","6,161.95","6,239.11","6,018.02","72.21M","0.73%"
"08/28/2022","6,167.51","6,199.11","6,303.66","6,009.09","380.57M","-1.70%"
"08/21/2022","6,274.26","6,448.81","6,459.36","6,252.59","308.26M","-3.41%"
"08/14/2022","6,495.83","6,582.63","6,608.83","6,488.00","278.43M","-0.89%"
"08/07/2022","6,553.86","6,510.45","6,587.84","6,453.79","308.51M","1.26%"
"07/31/2022","6,472.35","6,447.18","6,555.71","6,381.43","355.69M","0.37%"
"07/24/2022","6,448.50","6,198.83","6,472.27","6,177.14","385.87M","3.73%"
"07/17/2022","6,216.82","6,070.21","6,247.35","6,028.79","358.77M","3.00%"
"07/10/2022","6,036.00","5,923.83","6,053.33","5,874.68","350.57M","0.05%"
"07/03/2022","6,033.13","5,983.98","6,053.17","5,786.50","420.06M","1.72%"
"06/26/2022","5,931.06","6,105.20","6,156.60","5,852.30","389.09M","-2.34%"
"06/19/2022","6,073.35","5,901.58","6,085.99","5,830.87","392.04M","3.24%"
"06/12/2022","5,882.65","6,088.05","6,122.26","5,870.64","566.95M","-4.92%"
"06/05/2022","6,187.23","6,533.82","6,593.15","6,177.31","376.04M","-4.60%"
"05/29/2022","6,485.30","6,547.86","6,582.05","6,414.22","413.09M","-0.47%"
"05/22/2022","6,515.75","6,350.88","6,519.73","6,229.84","366.81M","3.67%"
"05/15/2022","6,285.24","6,315.68","6,455.80","6,196.19","421.45M","-1.22%"
"05/08/2022","6,362.68","6,207.15","6,363.24","6,086.02","479.86M","1.67%"
"05/01/2022","6,258.36","6,469.31","6,558.91","6,213.64","452.72M","-4.22%"
"04/24/2022","6,533.77","6,450.90","6,601.15","6,338.61","442.05M","-0.72%"
"04/17/2022","6,581.42","6,545.97","6,757.75","6,494.33","336.89M","-0.12%"
"04/10/2022","6,589.35","6,558.53","6,614.96","6,424.97","323.56M","0.63%"
"04/03/2022","6,548.22","6,709.60","6,745.22","6,442.44","459.96M","-2.04%"
"03/27/2022","6,684.31","6,578.72","6,829.40","6,572.01","415.21M","1.99%"
"03/20/2022","6,553.68","6,608.79","6,684.70","6,538.80","390.32M","-1.01%"
"03/13/2022","6,620.24","6,298.96","6,680.00","6,206.05","653.56M","5.75%"
"03/06/2022","6,260.25","5,887.83","6,466.12","5,756.38","886.13M","3.28%"
"02/27/2022","6,061.66","6,620.48","6,684.54","6,061.66","826.58M","-10.23%"
"02/20/2022","6,752.43","6,984.31","6,986.83","6,432.89","629.73M","-2.56%"
"02/13/2022","6,929.63","6,868.07","7,031.93","6,757.33","462.77M","-1.17%"
"02/06/2022","7,011.60","6,987.17","7,169.63","6,929.71","424.57M","0.87%"
"01/30/2022","6,951.38","7,039.71","7,150.54","6,914.77","434.05M","-0.21%"
"01/23/2022","6,965.88","7,014.84","7,070.92","6,754.24","534.75M","-1.45%"
"01/16/2022","7,068.59","7,167.53","7,213.70","7,013.49","403.83M","-1.04%"
"01/09/2022","7,143.00","7,245.21","7,250.24","7,105.55","399.12M","-1.06%"
"01/02/2022","7,219.48","7,197.40","7,384.86","7,178.18","383.36M","0.93%"
"12/26/2021","7,153.03","7,070.14","7,201.65","7,062.40","162.76M","0.94%"
"12/19/2021","7,086.58","6,783.83","7,119.87","6,747.69","283.80M","2.31%"
"12/12/2021","6,926.63","7,004.76","7,054.92","6,884.91","488.76M","-0.93%"
"12/05/2021","6,991.68","6,810.93","7,104.06","6,776.17","388.98M","3.34%"
"11/28/2021","6,765.52","6,831.41","6,902.46","6,655.86","577.76M","0.38%"
"11/21/2021","6,739.73","7,130.24","7,143.60","6,725.08","451.32M","-5.24%"
"11/14/2021","7,112.29","7,090.96","7,183.08","7,068.43","395.35M","0.29%"
"11/07/2021","7,091.40","7,041.60","7,097.46","7,014.94","362.01M","0.72%"
"10/31/2021","7,040.79","6,870.28","7,063.40","6,859.44","353.55M","3.08%"
"10/24/2021","6,830.34","6,752.98","6,830.34","6,707.32","372.20M","1.44%"
"10/17/2021","6,733.69","6,697.29","6,765.46","6,636.61","323.96M","0.09%"
"10/10/2021","6,727.52","6,546.07","6,746.81","6,491.58","370.38M","2.55%"
"10/03/2021","6,559.99","6,484.90","6,617.34","6,421.64","420.14M","0.65%"
"09/26/2021","6,517.69","6,683.85","6,688.76","6,412.70","499.99M","-1.82%"
"09/19/2021","6,638.46","6,450.39","6,718.80","6,389.62","500.90M","1.04%"
"09/12/2021","6,570.19","6,688.77","6,722.00","6,551.62","500.70M","-1.40%"
"09/05/2021","6,663.77","6,704.35","6,756.40","6,605.09","292.68M","-0.39%"
"08/29/2021","6,689.99","6,690.28","6,784.66","6,650.90","329.32M","0.12%"
"08/22/2021","6,681.92","6,699.32","6,717.77","6,618.69","248.55M","0.84%"
"08/15/2021","6,626.11","6,849.68","6,863.74","6,560.74","324.96M","-3.91%"
"08/08/2021","6,896.04","6,818.54","6,913.67","6,806.98","253.91M","1.16%"
"08/01/2021","6,816.96","6,657.95","6,832.94","6,639.31","346.19M","3.09%"
"07/25/2021","6,612.76","6,532.01","6,671.12","6,516.57","366.64M","0.67%"
"07/18/2021","6,568.82","6,398.84","6,574.86","6,253.25","391.17M","1.68%"
"07/11/2021","6,460.08","6,525.11","6,569.37","6,418.25","308.84M","-1.06%"
"07/04/2021","6,529.42","6,545.98","6,582.87","6,348.64","396.06M","-0.36%"
"06/27/2021","6,552.86","6,611.99","6,633.73","6,474.43","341.63M","-1.06%"
"06/20/2021","6,622.87","6,525.03","6,641.90","6,511.93","348.20M","0.82%"
"06/13/2021","6,569.16","6,625.55","6,687.29","6,560.12","443.14M","-0.48%"
"06/06/2021","6,600.66","6,509.98","6,607.61","6,485.80","328.87M","1.30%"
"05/30/2021","6,515.66","6,483.32","6,522.23","6,441.76","265.32M","0.49%"
"05/23/2021","6,484.11","6,395.96","6,493.72","6,375.14","364.70M","1.53%"
"05/16/2021","6,386.41","6,397.22","6,412.91","6,192.33","373.82M","0.02%"
"05/09/2021","6,385.14","6,395.38","6,395.60","6,150.43","389.96M","-0.01%"
